task,task_no,source
"educate or advise clients on animal health care, nutrition, or behavior problems.","Lære opp eller gi råd til klienter om dyrehelse, fôring og atferdsproblemer.",manual 2026-09-07
"collect, prepare, and label samples for laboratory testing, culture, or microscopic examination.","Samle inn, klargjøre og merke prøver for laboratorietesting, dyrking eller mikroskopisk undersøkelse.",manual 2026-09-07
provide clinical services or health education to improve and maintain the oral health of patients or the general public.,Yte kliniske tjenester eller helseopplysning for å bedre og opprettholde tannhelsen hos pasienter og befolkningen.,manual 2026-09-07
"schedule appointments, prepare bills and receive payment for dental services, complete insurance forms, and maintain records, manually or using computer.","Sette opp timer, fakturere og ta imot betaling for tannbehandling, fylle ut forsikringsskjemaer og føre journaler, manuelt eller på datamaskin.",manual 2026-09-07
schedule appointments for patients.,Sette opp timer for pasienter.,manual 2026-09-07
investigate complaints regarding safety violations.,Undersøke klager på brudd på sikkerhetsbestemmelser.,manual 2026-09-07
teach patients how to deal constructively with their emotions.,Lære pasienter å håndtere følelsene sine på en konstruktiv måte.,manual 2026-09-07
"conduct nutritional assessments of individuals, including obtaining and evaluating individuals' dietary histories, to plan nutritional programs.","Gjennomføre ernæringsvurderinger av enkeltpersoner, inkludert innhenting og vurdering av kostholdshistorikk, for å planlegge ernæringsopplegg.",manual 2026-09-07
"plan menus or diets or guide individuals or families in food selection, preparation, or menu planning, based upon nutritional needs and established guidelines.","Planlegge menyer eller dietter, eller veilede enkeltpersoner og familier i valg og tilberedning av mat og menyplanlegging ut fra ernæringsbehov og gjeldende retningslinjer.",manual 2026-09-07
maintain a current file of examination protocols.,Holde et oppdatert arkiv over undersøkelsesprotokoller.,manual 2026-09-07
"obtain and record patient identification, medical history, or test results.","Innhente og registrere pasientidentifikasjon, sykehistorie og prøvesvar.",manual 2026-09-07
"analyze menus or recipes, standardize recipes, or test new products.","Analysere menyer eller oppskrifter, standardisere oppskrifter eller teste nye produkter.",manual 2026-09-07
"provide dietitians with assistance researching food, nutrition, or food service systems.","Bistå ernæringsfysiologer med å undersøke mat, ernæring eller storkjøkkendrift.",manual 2026-09-07
contact prospective customers to present information and explain available services.,Kontakte potensielle kunder for å presentere informasjon og forklare tilgjengelige tjenester.,manual 2026-09-07
analyze market conditions to determine optimum times to execute securities transactions.,Analysere markedsforholdene for å finne det beste tidspunktet for verdipapirhandler.,manual 2026-09-07
"contact prospective customers to determine customer needs, present information, or explain available services.","Kontakte potensielle kunder for å kartlegge behov, presentere informasjon eller forklare tilgjengelige tjenester.",manual 2026-09-07
analyze target companies or investment opportunities to inform investment decisions.,Analysere aktuelle selskaper eller investeringsmuligheter som grunnlag for investeringsbeslutninger.,manual 2026-09-07
offer advice on the purchase or sale of particular securities.,Gi råd om kjøp eller salg av bestemte verdipapirer.,manual 2026-09-07
"inform other traders, managers, or customers of market conditions, including volume, price, competition, or dynamics.","Informere andre meglere, ledere eller kunder om markedsforhold som volum, pris, konkurranse og dynamikk.",manual 2026-09-07
monitor markets or positions.,Overvåke markeder eller posisjoner.,manual 2026-09-07
"buy or sell stocks, bonds, commodity futures, foreign currencies, or other securities on behalf of investment dealers.","Kjøpe eller selge aksjer, obligasjoner, råvareterminer, valuta eller andre verdipapirer på vegne av verdipapirforetak.",manual 2026-09-07
"devise trading, option, or hedge strategies.","Utforme handels-, opsjons- eller sikringsstrategier.",manual 2026-09-07
"develop prospects from current commercial customers, referral leads, or sales or trade meetings.","Finne nye kundeemner gjennom eksisterende bedriftskunder, henvisninger eller salgs- og bransjemøter.",manual 2026-09-07
report all positions or trading results.,Rapportere alle posisjoner og handelsresultater.,manual 2026-09-07
"track and analyze factors that affect price movement, such as trade policies, weather conditions, political developments, or supply and demand changes.","Følge med på og analysere faktorer som påvirker prisutviklingen, som handelspolitikk, værforhold, politiske hendelser og endringer i tilbud og etterspørsel.",manual 2026-09-07
"review financial periodicals, stock and bond reports, business publications, or other material to identify potential investments for clients or to keep abreast of trends affecting market conditions.","Lese finanstidsskrifter, aksje- og obligasjonsrapporter, næringslivspublikasjoner og annet materiale for å finne mulige investeringer for kunder eller holde seg oppdatert på trender som påvirker markedet.",manual 2026-09-07
handle customer complaints and take appropriate action to resolve them.,Håndtere kundeklager og treffe nødvendige tiltak for å løse dem.,manual 2026-09-07
analyze potential loan markets and develop referral networks to locate prospects for loans.,Analysere mulige lånemarkeder og bygge henvisningsnettverk for å finne potensielle låntakere.,manual 2026-09-07
"counsel clients on personal and family financial problems, such as excessive spending or borrowing of funds.","Veilede klienter om personlige og familiære økonomiske problemer, som overforbruk eller for høy gjeld.",manual 2026-09-07
review billing for accuracy.,Kontrollere at fakturaer er riktige.,manual 2026-09-07
"maintain or update records of client account activity, including financial transactions, counseling session notes, correspondence, document images, or client inquiries.","Føre eller oppdatere registre over aktivitet på klientkontoer, inkludert transaksjoner, notater fra veiledningssamtaler, korrespondanse, skannede dokumenter og henvendelser fra klienter.",manual 2026-09-07
interview applicants and request specified information for loan applications.,Intervjue søkere og innhente nødvendige opplysninger til lånesøknader.,manual 2026-09-07
"recommend educational materials or resources to clients on matters such as financial planning, budgeting, or credit.","Anbefale opplæringsmateriell eller ressurser til klienter om temaer som økonomisk planlegging, budsjettering og kreditt.",manual 2026-09-07
"create debt management plans, spending plans, or budgets to assist clients to meet financial goals.","Lage gjeldsplaner, forbruksplaner eller budsjetter som hjelper klientene med å nå økonomiske mål.",manual 2026-09-07
"recommend strategies for clients to meet their financial goals, such as borrowing money through loans or loan programs, declaring bankruptcy, making budget adjustments, or enrolling in debt management plans.","Anbefale strategier for at klienter skal nå sine økonomiske mål, som låneopptak, konkursbegjæring, budsjettjusteringer eller gjeldsordning.",manual 2026-09-07
"explain services or policies to clients, such as debt management program rules, the advantages and disadvantages of using services, or creditor concession policies.","Forklare tjenester og retningslinjer for klienter, som regler for gjeldsordning, fordeler og ulemper ved tjenestene og kreditorenes praksis for ettergivelse.",manual 2026-09-07
"obtain and compile copies of loan applicants' credit histories, corporate financial statements, and other financial information.","Innhente og samle kopier av lånesøkeres kreditthistorikk, selskapsregnskap og annen finansiell informasjon.",manual 2026-09-07
"maintain and review account records, updating and recategorizing them according to status changes.","Føre og gjennomgå kontoregistre, og oppdatere og omklassifisere dem ved statusendringer.",manual 2026-09-07
"market bank products to individuals and firms, promoting bank services that may meet customers' needs.","Markedsføre bankprodukter til privatpersoner og bedrifter, og fremme banktjenester som kan dekke kundenes behov.",manual 2026-09-07
contact borrowers with delinquent accounts to obtain payment in full or to negotiate repayment plans.,Kontakte låntakere med misligholdte lån for å få full innbetaling eller forhandle om nedbetalingsplaner.,manual 2026-09-07
"classify, record, and summarize numerical and financial data to compile and keep financial records, using journals and ledgers or computers.","Klassifisere, bokføre og sammenstille tall- og regnskapsdata for å føre regnskap, ved hjelp av journaler, hovedbok eller datamaskin.",manual 2026-09-07
"compile statistical, financial, accounting, or auditing reports and tables pertaining to such matters as cash receipts, expenditures, accounts payable and receivable, and profits and losses.","Utarbeide statistiske rapporter, regnskaps- og revisjonsrapporter og tabeller om forhold som innbetalinger, utgifter, leverandørgjeld, kundefordringer og resultat.",manual 2026-09-07
reconcile records of bank transactions.,Avstemme banktransaksjoner.,manual 2026-09-07
"perform financial calculations, such as amounts due, interest charges, balances, discounts, equity, and principal.","Utføre finansielle beregninger, som forfalte beløp, renter, saldo, rabatter, egenkapital og hovedstol.",manual 2026-09-07
access computerized financial information to answer general questions as well as those related to specific accounts.,Slå opp i elektronisk finansinformasjon for å besvare generelle spørsmål og spørsmål om bestemte kontoer.,manual 2026-09-07
"compile budget data and documents, based on estimated revenues and expenses and previous budgets.",Sammenstille budsjettdata og -dokumenter basert på anslåtte inntekter og utgifter og tidligere budsjetter.,manual 2026-09-07
"perform general office duties, such as filing, answering telephones, and handling routine correspondence.","Utføre alminnelige kontoroppgaver som arkivering, telefonbetjening og rutinemessig korrespondanse.",manual 2026-09-07
examine claims forms and other records to determine insurance coverage.,Gjennomgå skademeldinger og andre dokumenter for å avgjøre forsikringsdekning.,manual 2026-09-07
"inspect properties to evaluate construction, condition, special features, and functional design, and to take property measurements.","Befare eiendommer for å vurdere byggemåte, tilstand, særtrekk og funksjonell utforming, og for å måle opp eiendommen.",manual 2026-09-07
prepare reports to be submitted to company's data processing department.,Utarbeide rapporter som skal sendes til selskapets dataavdeling.,manual 2026-09-07
examine income records and operating costs of income properties.,Gjennomgå inntektsoversikter og driftskostnader for utleieeiendommer.,manual 2026-09-07
"search public records for transactions such as sales, leases, and assessments.","Søke i offentlige registre etter transaksjoner som salg, leieavtaler og takster.",manual 2026-09-07
examine titles to property to determine validity and act as company agent in transactions with property owners.,"Undersøke hjemmel til eiendom for å fastslå gyldighet, og opptre på vegne av selskapet i transaksjoner med eiendomseiere.",manual 2026-09-07
"prepare written reports that estimate property values, outline methods by which the estimations were made, and meet appraisal standards.","Utarbeide skriftlige takstrapporter som anslår eiendomsverdier, beskriver metodene som er brukt og oppfyller takseringsstandarder.",manual 2026-09-07
maintain familiarity with aspects of local real estate markets.,Holde seg orientert om det lokale eiendomsmarkedet.,manual 2026-09-07
analyze information gathered by investigation and report findings and recommendations.,"Analysere informasjon innhentet gjennom undersøkelser, og rapportere funn og anbefalinger.",manual 2026-09-07
verify and analyze data used in settling claims to ensure that claims are valid and that settlements are made according to company practices and procedures.,Kontrollere og analysere data som brukes i skadeoppgjør for å sikre at kravene er gyldige og at oppgjør skjer i tråd med selskapets praksis og rutiner.,manual 2026-09-07
"analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments.","Analysere utviklingen i salgspriser, byggekostnader og leiepriser for å vurdere eiendomsverdier eller kontrollere takster.",manual 2026-09-07
investigate and assess damage to property and create or review property damage estimates.,"Undersøke og vurdere skader på eiendom, og utarbeide eller gjennomgå skadetakster.",manual 2026-09-07
"interview or correspond with claimants, witnesses, police, physicians, or other relevant parties to determine claim settlement, denial, or review.","Intervjue eller korrespondere med skadelidte, vitner, politi, leger og andre berørte parter for å avgjøre om krav skal utbetales, avslås eller vurderes nærmere.",manual 2026-09-07
"investigate, evaluate, and settle claims, applying technical knowledge and human relations skills to effect fair and prompt disposal of cases and to contribute to a reduced loss ratio.","Undersøke, vurdere og gjøre opp skadesaker, og bruke fagkunnskap og menneskekunnskap for å sikre rettferdig og rask saksbehandling og bidra til lavere skadeprosent.",manual 2026-09-07
"examine claims investigated by insurance adjusters, further investigating questionable claims to determine whether to authorize payments.","Gjennomgå skadesaker som er undersøkt av skadebehandlere, og undersøke tvilsomme krav nærmere for å avgjøre om utbetaling skal godkjennes.",manual 2026-09-07
"interview prospective clients to obtain data about their financial resources and needs, the physical condition of the person or property to be insured, and to discuss any existing coverage.","Intervjue potensielle kunder for å kartlegge økonomi og behov, tilstanden til personen eller eiendommen som skal forsikres, og eksisterende forsikringsdekning.",manual 2026-09-07
seek out new clients and develop clientele by networking to find new customers and generate lists of prospective clients.,"Oppsøke nye kunder og bygge kundekrets gjennom nettverksarbeid, og utarbeide lister over potensielle kunder.",manual 2026-09-07
confer with clients to obtain and provide information when claims are made on a policy.,Rådføre seg med kunder for å innhente og gi informasjon når det meldes skade på en forsikring.,manual 2026-09-07
"customize insurance programs to suit individual customers, often covering a variety of risks.","Tilpasse forsikringsløsninger til den enkelte kunde, ofte med dekning for flere typer risiko.",manual 2026-09-07
"call on policyholders to deliver and explain policy, to analyze insurance program and suggest additions or changes, or to change beneficiaries.","Besøke forsikringstakere for å levere og forklare polisen, gjennomgå forsikringsdekningen og foreslå tillegg eller endringer, eller endre begunstigede.",manual 2026-09-07
analyze details of sales territories to assess their growth potential and to set quotas.,Analysere salgsdistrikter for å vurdere vekstpotensial og fastsette salgsmål.,manual 2026-09-07
calculate premiums and establish payment method.,Beregne premier og fastsette betalingsmåte.,manual 2026-09-07
"confer with company officials to develop methods and procedures to increase sales, expand markets, and promote business.","Samarbeide med selskapets ledelse om metoder og rutiner for å øke salget, utvide markedene og fremme virksomheten.",manual 2026-09-07
"answer customers' questions about products, prices, availability, product uses, and credit terms.","Besvare kundenes spørsmål om produkter, priser, tilgjengelighet, bruksområder og kredittvilkår.",manual 2026-09-07
"perform administrative duties, such as preparing sales budgets and reports, keeping sales records, and filing expense account reports.","Utføre administrative oppgaver som å utarbeide salgsbudsjetter og rapporter, føre salgsregistre og levere reiseregninger.",manual 2026-09-07
"contact regular and prospective customers to demonstrate products, explain product features, and solicit orders.","Kontakte faste og potensielle kunder for å demonstrere produkter, forklare produktegenskaper og hente inn ordrer.",manual 2026-09-07
"recommend products to customers, based on customers' needs and interests.",Anbefale produkter til kunder ut fra deres behov og interesser.,manual 2026-09-07
"monitor market conditions, product innovations, and competitors' products, prices, and sales.","Følge med på markedsforhold, produktnyheter og konkurrentenes produkter, priser og salg.",manual 2026-09-07
"monitor changes affecting supply and demand, tracking market conditions, price trends, or futures markets.","Følge med på endringer som påvirker tilbud og etterspørsel, som markedsforhold, prisutvikling og terminmarkeder.",manual 2026-09-07
monitor shipments to ensure that goods come in on time and resolve problems related to undelivered goods.,"Overvåke forsendelser for å sikre at varene kommer i tide, og løse problemer med uleverte varer.",manual 2026-09-07
monitor and follow applicable laws and regulations.,Følge med på og etterleve gjeldende lover og forskrifter.,manual 2026-09-07
obtain information about customer needs or preferences by conferring with sales or purchasing personnel.,Innhente informasjon om kundenes behov og preferanser i samråd med salgs- eller innkjøpspersonale.,manual 2026-09-07
"review catalogs, industry periodicals, directories, trade journals, and internet sites and consult with other department personnel to locate necessary goods and services.","Gå gjennom kataloger, bransjetidsskrifter, oppslagsverk og nettsteder, og rådføre seg med andre avdelinger for å finne nødvendige varer og tjenester.",manual 2026-09-07
"determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run.","Avgjøre hvilke produkter som skal annonseres, hvilke annonsekanaler som skal brukes og når annonsene skal kjøres.",manual 2026-09-07
"monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns and determine what the company will sell and how much inventory is needed.","Følge med på og analysere salgstall, trender og økonomiske forhold for å forutse kjøpemønstre og avgjøre hva selskapet skal selge og hvor stort lager som trengs.",manual 2026-09-07
"write and review product specifications, maintaining a working technical knowledge of the goods or services to be purchased.","Skrive og gjennomgå produktspesifikasjoner, og holde seg teknisk oppdatert på varene eller tjenestene som skal kjøpes inn.",manual 2026-09-07
"prepare purchase orders, solicit bid proposals, and review requisitions for goods and services.","Utarbeide innkjøpsordrer, innhente anbud og gjennomgå rekvisisjoner for varer og tjenester.",manual 2026-09-07
monitor competitors' sales activities by following their advertisements in newspapers or other media.,Følge med på konkurrentenes salgsaktiviteter gjennom annonsene deres i aviser og andre medier.,manual 2026-09-07
"examine or test crops or products to estimate their value, determine their grade, or locate any evidence of disease or insect damage.","Undersøke eller teste avlinger og produkter for å anslå verdi, fastsette kvalitetsklasse og avdekke tegn på sykdom eller insektskader.",manual 2026-09-07
authorize payment of invoices or return of merchandise.,Godkjenne betaling av fakturaer eller retur av varer.,manual 2026-09-07
"sell supplies, such as seed, feed, fertilizers, or insecticides, arranging for loans or financing as necessary.","Selge driftsmidler som såvarer, fôr, gjødsel og plantevernmidler, og ordne lån eller finansiering ved behov.",manual 2026-09-07
"examine shipment contents and compare with records such as manifests, invoices, or orders to verify accuracy.","Kontrollere innholdet i forsendelser mot dokumenter som fraktlister, fakturaer og ordrer.",manual 2026-09-07
"prepare shipping documentation, such as including bills of lading, packing lists, dock receipts, or certificates of origin.","Utarbeide fraktdokumenter som konnossementer, pakklister, kaikvitteringer og opprinnelsessertifikater.",manual 2026-09-07
"record shipment data, such as weight, charges, space availability, damages, or discrepancies for reporting, accounting, or recordkeeping purposes.","Registrere forsendelsesdata som vekt, gebyrer, ledig plass, skader og avvik for rapportering, regnskap og arkivering.",manual 2026-09-07
prepare invoices or cost quotations for freight transportation.,Utarbeide fakturaer eller pristilbud for frakt.,manual 2026-09-07
track delivery progress of shipments.,Spore fremdriften i leveranser.,manual 2026-09-07
monitor or record locations of goods in transit.,Overvåke eller registrere hvor varer under transport befinner seg.,manual 2026-09-07
"inform clients of factors such as shipping options, timelines, transfers, or regulations affecting shipments.","Informere kunder om forhold som fraktalternativer, leveringstider, omlastinger og regelverk som påvirker forsendelsen.",manual 2026-09-07
negotiate and arrange transport of goods with shipping or freight companies.,Forhandle om og ordne transport av varer med rederier og fraktselskaper.,manual 2026-09-07
"verify adherence of documentation to customs, insurance, or regulatory requirements.","Kontrollere at dokumentasjonen oppfyller krav fra toll, forsikring og myndigheter.",manual 2026-09-07
check import or export documentation to determine cargo contents and use tariff coding system to classify goods according to fee or tariff group.,"Kontrollere import- og eksportdokumenter for å fastslå lastens innhold, og klassifisere varer etter tolltariffen.",manual 2026-09-07
determine efficient and cost-effective methods of moving goods from one location to another.,Finne effektive og kostnadseffektive måter å frakte varer fra ett sted til et annet på.,manual 2026-09-07
"monitor event activities to ensure compliance with applicable regulations and laws, satisfaction of participants, and resolution of any problems that arise.","Følge opp arrangementet for å sikre at lover og regler overholdes, at deltakerne er fornøyde og at problemer som oppstår blir løst.",manual 2026-09-07
evaluate and select providers of services according to customer requirements.,Vurdere og velge tjenesteleverandører ut fra kundens krav.,manual 2026-09-07
inspect event facilities to ensure that they conform to customer requirements.,Inspisere arrangementslokaler for å sikre at de oppfyller kundens krav.,manual 2026-09-07
"coordinate services for events, such as accommodation and transportation for participants, facilities, catering, signage, displays, special needs requirements, printing and event security.","Koordinere tjenester til arrangementer, som overnatting og transport for deltakerne, lokaler, servering, skilting, utstillinger, tilrettelegging, trykksaker og vakthold.",manual 2026-09-07
"prepare or maintain employment records related to events such as hiring, termination, leaves, transfers, or promotions, using human resources management system software.","Opprette og vedlikeholde personalopplysninger om ansettelser, oppsigelser, permisjoner, overføringer og forfremmelser i HR-systemet.",manual 2026-09-07
"maintain and update human resources documents, such as organizational charts, employee handbooks or directories, or performance evaluation forms.","Vedlikeholde og oppdatere HR-dokumenter som organisasjonskart, personalhåndbøker, ansattoversikter og skjemaer for medarbeidervurdering.",manual 2026-09-07
"maintain records of sales, rental or usage activity, special permits issued, maintenance and operating costs, or property availability.","Føre oversikt over salg, utleie og bruk, utstedte særtillatelser, vedlikeholds- og driftskostnader og ledige eiendommer.",manual 2026-09-07
interview clients to determine what kinds of properties they are seeking.,Intervjue kunder for å finne ut hva slags eiendommer de er ute etter.,manual 2026-09-07
"promote sales of properties through advertisements, open houses, and participation in multiple listing services.","Fremme salg av eiendommer gjennom annonser, visninger og felles boligdatabaser.",manual 2026-09-07
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.","Gi kunder råd om markedsforhold, priser, boliglån, lovkrav og lignende.",manual 2026-09-07
"display commercial, industrial, agricultural, and residential properties to clients and explain their features.","Vise nærings-, industri-, landbruks- og boligeiendommer til kunder og forklare egenskapene deres.",manual 2026-09-07
coordinate appointments to show homes to prospective buyers.,Avtale visninger av boliger for potensielle kjøpere.,manual 2026-09-07
generate lists of properties that are compatible with buyers' needs and financial resources.,Lage lister over eiendommer som passer kjøpernes behov og økonomi.,manual 2026-09-07
evaluate mortgage options to help clients obtain financing at the best prevailing rates and terms.,Vurdere lånealternativer for å hjelpe kunder med å få finansiering til best mulig rente og vilkår.,manual 2026-09-07
"generate lists of properties for sale, their locations, descriptions, and available financing options, using computers.","Lage oversikter over eiendommer til salgs med beliggenhet, beskrivelse og finansieringsmuligheter ved hjelp av datamaskin.",manual 2026-09-07
"appraise property values, assessing income potential when relevant.","Taksere eiendommer, og vurdere inntektspotensial der det er relevant.",manual 2026-09-07
solicit and compile listings of available rental properties.,Innhente og sammenstille oversikter over ledige utleieboliger.,manual 2026-09-07
"review property listings, trade journals, and relevant literature, and attend conventions, seminars, and staff and association meetings to remain knowledgeable about real estate markets.","Følge med på boligannonser, bransjetidsskrifter og faglitteratur, og delta på konferanser, seminarer og møter for å holde seg oppdatert om eiendomsmarkedet.",manual 2026-09-07
"obtain and study information about clients' products, needs, problems, advertising history, and business practices to offer effective sales presentations and appropriate product assistance.","Innhente og sette seg inn i informasjon om kundenes produkter, behov, problemer, tidligere markedsføring og forretningspraksis for å gi gode salgspresentasjoner og riktig produktstøtte.",manual 2026-09-07
"research or develop analytical tools to address issues such as portfolio construction or optimization, performance measurement, attribution, profit and loss measurement, or pricing models.","Utforske eller utvikle analyseverktøy for porteføljesammensetning og -optimering, resultatmåling, attribusjon, resultatberegning og prisingsmodeller.",manual 2026-09-07
keep informed of industry trends and deals.,Holde seg oppdatert på bransjetrender og transaksjoner.,manual 2026-09-07
"identify, track, or maintain metrics for trading system operations.","Definere, følge opp og vedlikeholde måltall for driften av handelssystemer.",manual 2026-09-07
coordinate due diligence processes and the negotiation or execution of purchase or sale agreements.,Koordinere due diligence-prosesser og forhandling eller gjennomføring av kjøps- og salgsavtaler.,manual 2026-09-07
write sales outlines for use by staff.,Skrive salgsopplegg til bruk for de ansatte.,manual 2026-09-07
participate in the work of subordinates to facilitate productivity or to overcome difficult aspects of work.,Delta i underordnedes arbeid for å øke produktiviteten eller løse vanskelige oppgaver.,manual 2026-09-07
resolve customer complaints or answer customers' questions regarding policies and procedures.,Håndtere kundeklager og besvare kundenes spørsmål om retningslinjer og rutiner.,manual 2026-09-07
"coordinate or perform activities associated with shipping, receiving, distribution, or transportation.","Koordinere eller utføre oppgaver knyttet til forsendelse, varemottak, distribusjon og transport.",manual 2026-09-07
provide employees with guidance in handling difficult or complex problems or in resolving escalated complaints or disputes.,Veilede ansatte i håndtering av vanskelige eller sammensatte problemer og i løsning av eskalerte klager og tvister.,manual 2026-09-07
"research, compile, and prepare reports, manuals, correspondence, or other information required by management or governmental agencies.","Undersøke, sammenstille og utarbeide rapporter, håndbøker, korrespondanse og annen informasjon som ledelsen eller offentlige myndigheter krever.",manual 2026-09-07
"recruit, interview, and select employees.","Rekruttere, intervjue og velge ut ansatte.",manual 2026-09-07
"prepare and issue work schedules, deadlines, and duty assignments for office or administrative staff.","Utarbeide og fordele arbeidsplaner, frister og oppgaver for kontor- og administrasjonspersonale.",manual 2026-09-07
evaluate employees' job performance and conformance to regulations and recommend appropriate personnel action.,"Vurdere ansattes arbeidsprestasjoner og etterlevelse av regelverk, og anbefale egnede personaltiltak.",manual 2026-09-07
schedule and make appointments.,Planlegge og avtale møter.,manual 2026-09-07
prepare and distribute invoices to bill clients or pay account expenses.,Utarbeide og sende ut fakturaer for å fakturere kunder eller betale utgifter.,manual 2026-09-07
review legal publications and perform database searches to identify laws and court decisions relevant to pending cases.,Gjennomgå juridiske publikasjoner og søke i databaser for å finne lover og rettsavgjørelser som er relevante for pågående saker.,manual 2026-09-07
"conduct research, compile data, and prepare papers for consideration and presentation by executives, committees, and boards of directors.","Utrede, sammenstille data og utarbeide saksdokumenter til behandling og presentasjon for ledelse, utvalg og styrer.",manual 2026-09-07
transcribe recorded proceedings in accordance with established formats.,Transkribere opptak av forhandlinger etter fastsatte maler.,manual 2026-09-07
record symbols on computer storage media and use computer aided transcription to translate and display them as text.,Registrere stenografitegn på datamedier og bruke datastøttet transkripsjon for å omsette og vise dem som tekst.,manual 2026-09-07
"prepare invoices, reports, memos, letters, financial statements, and other documents, using word processing, spreadsheet, database, or presentation software.","Utarbeide fakturaer, rapporter, notater, brev, regnskap og andre dokumenter med tekstbehandling, regneark, database- eller presentasjonsprogrammer.",manual 2026-09-07
prepare responses to correspondence containing routine inquiries.,Utarbeide svar på rutinemessige henvendelser.,manual 2026-09-07
"review operating practices and procedures to determine whether improvements can be made in areas such as workflow, reporting procedures, or expenditures.","Gjennomgå arbeidsmåter og rutiner for å finne mulige forbedringer i for eksempel arbeidsflyt, rapportering eller utgifter.",manual 2026-09-07
"open, sort, and distribute incoming correspondence, including faxes and email.","Åpne, sortere og fordele innkommende post, inkludert faks og e-post.",manual 2026-09-07
make travel arrangements for executives.,Ordne reiser for ledere.,manual 2026-09-07
"read and analyze incoming memos, submissions, and reports to determine their significance and plan their distribution.","Lese og vurdere innkommende notater, innspill og rapporter for å avgjøre hvor viktige de er og planlegge fordelingen av dem.",manual 2026-09-07
attend meetings to record minutes.,Delta i møter for å føre referat.,manual 2026-09-07
"examine records, reports, or other documents to establish facts or detect discrepancies.","Gjennomgå registre, rapporter og andre dokumenter for å fastslå fakta eller avdekke avvik.",manual 2026-09-07
record facts to prepare reports that document incidents and activities.,Registrere fakta for å utarbeide rapporter som dokumenterer hendelser og aktiviteter.,manual 2026-09-07
"prepare reports of activities, evaluations, recommendations, or decisions.","Utarbeide rapporter om aktiviteter, vurderinger, anbefalinger eller vedtak.",manual 2026-09-07
interpret regulatory rules or rule changes and ensure that they are communicated through corporate policies and procedures.,"Tolke regelverk og regelendringer, og sørge for at de formidles gjennom selskapets retningslinjer og rutiner.",manual 2026-09-07
"provide information, technical assistance, or training to supervisors, managers, or employees on topics such as employee supervision, hiring, grievance procedures, or staff development.","Gi informasjon, faglig bistand og opplæring til ledere og ansatte om temaer som personalledelse, ansettelser, klagebehandling og kompetanseutvikling.",manual 2026-09-07
"prepare responses to customer requests for information, such as product data, written regulatory affairs statements, surveys, or questionnaires.","Utarbeide svar på kundeforespørsler om informasjon, som produktdata, skriftlige regulatoriske uttalelser, undersøkelser og spørreskjemaer.",manual 2026-09-07
analyze product complaints and make recommendations regarding their reportability.,Analysere produktklager og gi anbefalinger om hvorvidt de er meldepliktige.,manual 2026-09-07
review clinical protocols to ensure collection of data needed for regulatory submissions.,Gjennomgå kliniske protokoller for å sikre at data som trengs til myndighetssøknader blir samlet inn.,manual 2026-09-07
provide road information to assist motorists.,Gi veiinformasjon til bilister.,manual 2026-09-07
"obtain and distribute updated information regarding domestic or international laws, guidelines, or standards.","Innhente og formidle oppdatert informasjon om nasjonale og internasjonale lover, retningslinjer og standarder.",manual 2026-09-07
compile and maintain regulatory documentation databases or systems.,Bygge opp og vedlikeholde databaser eller systemer for regulatorisk dokumentasjon.,manual 2026-09-07
review facts of incidents to determine if criminal act or statute violations were involved.,Gjennomgå fakta i hendelser for å avgjøre om det foreligger straffbare handlinger eller lovbrudd.,manual 2026-09-07
"maintain knowledge of tax code changes, and of accounting procedures and theory to properly evaluate financial information.",Holde seg oppdatert på endringer i skattereglene og på regnskapspraksis og -teori for å kunne vurdere finansiell informasjon riktig.,manual 2026-09-07
"compile, record, and evaluate personal and financial data to verify completeness and accuracy, and to determine eligibility status.","Samle inn, registrere og vurdere person- og økonomiopplysninger for å kontrollere at de er fullstendige og riktige, og avgjøre om vilkårene er oppfylt.",manual 2026-09-07
answer applicants' questions about benefits and claim procedures.,Besvare søkeres spørsmål om ytelser og søknadsprosedyrer.,manual 2026-09-07
"refer applicants to job openings or to interviews with other staff, in accordance with administrative guidelines or office procedures.",Henvise søkere til ledige stillinger eller til samtaler med andre ansatte i tråd med administrative retningslinjer og kontorrutiner.,manual 2026-09-07
provide applicants with assistance in completing application forms such as those for job referrals or unemployment compensation claims.,"Hjelpe søkere med å fylle ut skjemaer, som søknader om jobbformidling eller dagpenger.",manual 2026-09-07
prepare meeting agendas or packets of related information.,Utarbeide sakslister og saksdokumenter til møter.,manual 2026-09-07
"update operational records or licensing information, using computer terminals.",Oppdatere driftsregistre eller lisensopplysninger på datamaskin.,manual 2026-09-07
examine legal documents submitted to courts for adherence to laws or court procedures.,"Kontrollere at rettsdokumenter som sendes inn til domstolene, oppfyller lovkrav og prosessregler.",manual 2026-09-07
"conduct and score oral, visual, written, or performance tests to determine applicant qualifications and notify applicants of their scores.","Gjennomføre og vurdere muntlige, visuelle, skriftlige eller praktiske prøver for å fastslå søkernes kvalifikasjoner, og meddele resultatene.",manual 2026-09-07
coordinate or maintain office tracking systems for correspondence or follow-up actions.,Koordinere eller vedlikeholde kontorets systemer for oppfølging av korrespondanse og tiltak.,manual 2026-09-07
